home_team,away_team,home_elo,away_elo,home_form,away_form,result
Team D,Team G,1543,1800,0.809788434406447,0.5354670644535813,Draw
Team E,Team H,1834,1652,0.4484088610459186,0.7899596636829463,Away Win
Team C,Team F,1884,1629,0.5703264811860562,0.5634809451421311,Home Win
Team E,Team F,1485,1406,0.377495649090897,0.5261666576549446,Draw
Team E,Team I,1584,1573,0.8724306163552336,0.5776078714017638,Home Win
Team B,Team H,1684,1540,0.6637047806705281,0.4808267244984853,Home Win
Team C,Team J,1861,1567,0.43718568330207763,0.7485656281057507,Draw
Team C,Team H,1619,1569,0.7030204106435141,0.6016322340554876,Home Win
Team C,Team I,1468,1792,0.6708769442747375,0.4393276170880904,Draw
Team E,Team I,1446,1833,0.5148976308197043,0.8397447439647412,Away Win
Team D,Team H,1896,1682,0.3681345553197774,0.5303347328239268,Draw
Team C,Team I,1493,1521,0.7029439173556797,0.6261317166683932,Draw
Team E,Team H,1637,1593,0.6121846205422761,0.8438832665787281,Away Win
Team B,Team G,1845,1404,0.7633910350413837,0.6745427975483953,Home Win
Team D,Team H,1899,1428,0.612098100667196,0.37013882442501844,Home Win
Team B,Team H,1852,1564,0.8113089001911242,0.8638992741680851,Home Win
Team D,Team I,1603,1821,0.6311441032646914,0.6766248318428507,Away Win
Team E,Team I,1799,1738,0.6365627829212318,0.5009433687942517,Home Win
Team A,Team F,1617,1535,0.825992161595007,0.38356324359803234,Home Win
Team D,Team F,1873,1895,0.5420897197274382,0.7764151135621776,Away Win
Team B,Team G,1831,1764,0.38040913707038443,0.6720436535571082,Away Win
Team E,Team F,1740,1720,0.3172696057880034,0.620076655185793,Away Win
Team D,Team H,1438,1741,0.7530823534041715,0.8363355498305747,Away Win
Team A,Team I,1499,1899,0.6721857308120789,0.7731583267347185,Away Win
Team A,Team F,1688,1544,0.7224478608595342,0.3910049278396507,Home Win
Team C,Team F,1653,1726,0.4277784969053464,0.48703324067732895,Away Win
Team C,Team G,1621,1616,0.3818228853520619,0.4490934838886794,Draw
Team B,Team G,1756,1700,0.30872679940072917,0.7463677755436062,Away Win
Team D,Team H,1422,1531,0.5103525352839582,0.32011946084146764,Draw
Team D,Team I,1649,1691,0.6539506121127798,0.6419338109227899,Draw
Team C,Team G,1409,1469,0.5353464270598394,0.7574752114444143,Away Win
Team D,Team F,1645,1651,0.5624849532142375,0.8260593820570497,Away Win
Team D,Team I,1724,1814,0.8424952166962492,0.5052490492295445,Home Win
Team A,Team I,1499,1674,0.5089532802139802,0.7927543828032078,Away Win
Team C,Team F,1689,1844,0.6083936934958865,0.36637904217312434,Draw
Team E,Team G,1579,1763,0.7701918076446859,0.8078713750407109,Away Win
Team C,Team F,1622,1581,0.5379256693927621,0.37649319739918946,Home Win
Team E,Team I,1793,1566,0.6732520201367241,0.5383723743362203,Home Win
Team A,Team J,1649,1490,0.8174182252480471,0.7783772194677323,Home Win
Team B,Team J,1546,1601,0.8697123741945854,0.3899504564092643,Home Win
Team D,Team H,1841,1745,0.38824408855742276,0.43755083713958487,Draw
Team A,Team F,1495,1418,0.8559525750968968,0.7333515410358398,Home Win
Team D,Team F,1656,1438,0.595269775847723,0.7320219219276447,Draw
Team B,Team H,1724,1525,0.454946632979375,0.6846885797311784,Draw
Team B,Team H,1892,1850,0.5754814537429569,0.71636906668026,Draw
Team A,Team H,1403,1572,0.8880195451712862,0.6256346660085577,Draw
Team B,Team I,1415,1540,0.5955708563957218,0.45107943534417166,Draw
Team E,Team F,1679,1641,0.49725096617250497,0.5074175961023517,Draw
Team B,Team I,1735,1619,0.6800405125900355,0.4089586300808554,Home Win
Team D,Team H,1646,1525,0.4440873712669159,0.8450703368001771,Away Win
Team D,Team F,1657,1457,0.34551799686519835,0.6500350768596723,Away Win
Team D,Team I,1896,1547,0.3773278331463895,0.5405108500581839,Home Win
Team D,Team I,1875,1875,0.3768275033746635,0.5772034821864797,Away Win
Team E,Team H,1783,1855,0.39114161610737663,0.8683700037670892,Away Win
Team C,Team F,1559,1716,0.38329630358964606,0.39201084186964813,Away Win
Team A,Team H,1874,1782,0.6845248468819288,0.6517378992100784,Home Win
Team D,Team F,1739,1760,0.4091280506394869,0.6035332073306796,Away Win
